1,Iniciar Sesión,Iniciar Sesión
2,Cerrar Sesión,Cerrar Sesión
3,Registrar Usuario,Registrar Usuario
4,Modificar Perfil Usuario,Modificar Perfil Usuario
5,Cancelar Cuenta,Cancelar Cuenta
6,Eliminar Cuenta,Eliminar Cuenta
7,Definir Rol Membresía Base,Definir Rol Membresía Base
8,Definir Rol Membresía Premium,Definir Rol Membresía Premium
9,Registrar Institución,Registrar Institución
10,Modificar Institución,Modificar Institución
11,Consultar Institución,Consultar Institución
12,Eliminar Institución,Eliminar Institución
13,Registrar Historial Reciclaje,Registrar Historial Reciclaje
14,Eliminar Historial Reciclaje,Eliminar Historial Reciclaje
15,Consultar Historial Reciclaje,Consultar Historial Reciclaje
16,Imprimir Historial,Imprimir Historial
17,Registrar Evento,Registrar Evento
18,Consultar Evento,Consultar Evento
19,Modificar Evento,Modificar Evento
20,Eliminar Evento,Eliminar Evento
21,Consultar Calendario Evento,Consultar Calendario Evento
22,Adquirir Membresía,Adquirir Membresía
23,Registrar Membresía,Registrar Membresía
24,Modificar Membresía,Modificar Membresía
25,Eliminar Membresía,Eliminar Membresía
26,Contactar Miembro,Contactar Miembro
27,Registrar Curso,Registrar Curso
28,Modificar Curso,Modificar Curso
29,Consultar Curso,Consultar Curso
30,Eliminar Curso,Eliminar Curso
31,Consultar Calendario Curso,Consultar Calendario Curso
32,Publicar Cápsula,Publicar Cápsula
33,Modificar Cápsula,Modificar Cápsula
34,Consultar Cápsulas,Consultar Cápsulas
35,Eliminar Cápsula,Eliminar Cápsula
36,Generar Certificado,Generar Certificado
37,Consultar Certificado,Consultar Certificado
38,Publicar Post,Publicar Post
39,Modificar Post,Modificar Post
40,Consultar Post,Consultar Post
41,Eliminar Post,Eliminar Post
42,Publicar Comentario,Publicar Comentario
43,Editar Comentario,Editar Comentario
44,Consultar Comentarios,Consultar Comentarios
45,Eliminar Comentario,Eliminar Comentario
46,Añadir Artículo,Añadir Artículo
47,Consultar Artículos,Consultar Artículos
48,Eliminar Artículo,Eliminar Artículo
49,Agregar Material,Agregar Material
50,Eliminar Material,Eliminar Material
51,Agregar Anuncio Banner,Agregar Anuncio Banner
52,Modificar Anuncio Banner,Modificar Anuncio Banner
53,Eliminar Anuncio Banner,Eliminar Anuncio Banner
54,Modificar Evento Banner,Modificar Evento Banner
55,Eliminar Evento Banner,Eliminar Evento Banner
56,Buscar Institución,Buscar Institución
57,Consultar Lista Instituciones,Consultar Lista Instituciones
